Date,,Start Location,Start District,End Location,End District
2023 4 22 10,19,школьная,северо-западный,почтовая,юго-восточный
2023 4 22 10,20,пушкина,центральный,южная,центральный
2023 4 22 10,21,подгорная,ленинский,космонавтов,юго-восточный
2023 4 22 10,22,рябиновая,северо-западный,шевченко,юго-восточный
2023 4 22 10,23,солнечная,центральный,спортивная,октябрьский
2023 4 22 10,24,комарова,ленинский,набережная,центральный
2023 4 22 10,25,мичурина,ленинский,майская,октябрьский
2023 4 22 10,26,буденного,октябрьский,вишневая,юго-восточный
2023 4 22 10,27,пушкина,центральный,совхозная,центральный
2023 4 22 10,28,труда,центральный,сосновая,юго-восточный
2023 4 22 10,29,партизанская,ленинский,вишневая,юго-восточный
2023 4 22 10,30,вокзальная,юго-восточный,куйбышева,центральный
2023 4 22 10,31,комсомольская,заречный,степная,центральный
2023 4 22 10,32,майская,октябрьский,береговая,центральный
2023 4 22 10,33,зеленая,центральный,луговая,октябрьский
2023 4 22 10,34,красноармейская,юго-восточный,чкалова,юго-восточный
2023 4 22 10,35,рабочая,северо-западный,свердлова,центральный
2023 4 22 10,36,почтовая,юго-восточный,матросова,центральный
2023 4 22 10,37,дачная,центральный,березовая,северо-западный
2023 4 22 10,38,буденного,октябрьский,ломоносова,октябрьский
2023 4 22 10,39,заводская,северо-западный,первомайская,северо-западный
2023 4 22 10,40,почтовая,юго-восточный,космонавтов,юго-восточный
2023 4 22 10,41,ломоносова,октябрьский,матросова,центральный
2023 4 22 10,42,карла маркса,ленинский,вокзальная,юго-восточный
2023 4 22 10,43,советская,центральный,зеленая,центральный
2023 4 22 10,44,красная,северо-западный,березовая,северо-западный
2023 4 22 10,45,дзержинского,центральный,шоссейная,заречный
2023 4 22 10,46,рябиновая,северо-западный,луговая,октябрьский
2023 4 22 10,47,советская,центральный,ленина,ленинский
2023 4 22 10,48,энергетиков,юго-восточный,дружбы,центральный
2023 4 22 10,49,пионерская,заречный,солнечная,центральный
2023 4 22 10,50,ленина,ленинский,ленина,ленинский
2023 4 22 10,51,красная,северо-западный,шоссейная,заречный
2023 4 22 10,52,шоссейная,заречный,шоссейная,заречный
2023 4 22 10,53,сиреневая,юго-восточный,красноармейская,юго-восточный
2023 4 22 10,54,восточная,октябрьский,железнодорожная,центральный
2023 4 22 10,55,гагарина,центральный,красноармейская,юго-восточный
2023 4 22 10,56,юбилейная,юго-восточный,степная,центральный
2023 4 22 10,57,цветочная,северо-западный,лермонтова,ленинский
2023 4 22 10,58,набережная,центральный,матросова,центральный
2023 4 22 10,59,сосновая,юго-восточный,карла маркса,ленинский
2023 4 22 11,60,спортивная,октябрьский,березовая,северо-западный
2023 4 22 11,61,новая,северо-западный,спортивная,октябрьский
2023 4 22 11,62,почтовая,юго-восточный,трудовая,центральный
2023 4 22 11,63,ломоносова,октябрьский,спортивная,октябрьский
2023 4 22 11,64,полевая,ленинский,ленина,ленинский
2023 4 22 11,65,восточная,октябрьский,озерная,юго-восточный
2023 4 22 11,66,советская,центральный,речная,юго-восточный
2023 4 22 11,67,майская,октябрьский,спортивная,октябрьский
2023 4 22 11,68,шоссейная,заречный,заводская,северо-западный
2023 4 22 11,69,майская,октябрьский,школьная,северо-западный
2023 4 22 11,70,центральная,юго-восточный,трудовая,центральный
2023 4 22 11,71,буденного,октябрьский,майская,октябрьский
2023 4 22 11,72,озерная,юго-восточный,чапаева,северо-западный
2023 4 22 11,73,горького,юго-восточный,сиреневая,юго-восточный
2023 4 22 11,74,восточная,октябрьский,заводская,северо-западный
2023 4 22 11,75,цветочная,северо-западный,коммунальная,юго-восточный
2023 4 22 11,76,первомайская,северо-западный,буденного,октябрьский
2023 4 22 11,77,пионерская,заречный,северная,центральный
2023 4 22 11,78,энергетиков,юго-восточный,мира,центральный
2023 4 22 11,79,озерная,юго-восточный,строительная,северо-западный
2023 4 22 11,80,заводская,северо-западный,крупской,центральный
2023 4 22 11,81,южная,центральный,луговая,октябрьский
