iter	Passed	Remaining
0	148	1486234
1	154	771253
2	158	527224
3	163	407581
4	167	334598
5	172	286558
6	175	250513
7	179	223866
8	183	203319
9	184	184813
10	188	171627
11	192	160359
12	196	150982
13	200	142685
14	203	135297
15	205	128179
16	208	122558
17	212	117833
18	216	113741
19	220	110065
20	224	106710
21	228	103538
22	232	100770
23	236	98225
24	239	95615
25	243	93356
26	246	91230
27	248	88674
28	252	86786
29	256	85277
30	259	83571
31	263	81937
32	265	80069
33	269	78859
34	273	77776
35	276	76541
36	279	75380
37	283	74306
38	286	73277
39	289	72209
40	293	71215
41	296	70251
42	298	69061
43	301	68269
44	303	67120
45	307	66443
46	310	65807
47	314	65118
48	317	64454
49	320	63852
50	324	63250
51	326	62501
52	328	61623
53	331	61082
54	335	60620
55	338	60149
56	342	59679
57	345	59217
58	349	58906
59	352	58419
60	354	57706
61	357	57293
62	360	56881
63	363	56465
64	366	56078
65	368	55456
66	371	55094
67	373	54625
68	377	54271
69	380	53949
70	382	53526
71	385	53222
72	389	52931
73	392	52656
74	395	52385
75	399	52113
76	402	51868
77	405	51610
78	409	51394
79	412	51129
80	414	50770
81	417	50542
82	421	50399
83	425	50171
84	429	50073
85	434	50060
86	439	50067
87	444	50016
88	448	49977
89	451	49693
90	456	49681
91	461	49721
92	467	49764
93	472	49842
94	476	49677
95	482	49820
96	489	49943
97	495	50072
98	503	50305
99	510	50529
100	518	50817
101	525	50992
102	532	51128
103	538	51276
104	545	51382
105	552	51578
106	557	51532
107	561	51422
108	565	51328
109	569	51246
110	574	51192
111	578	51114
112	583	51071
113	586	50833
114	588	50613
115	593	50547
116	595	50270
117	599	50169
118	603	50103
119	605	49877
120	610	49818
121	614	49774
122	618	49688
123	622	49618
124	627	49558
125	631	49490
126	635	49425
127	640	49364
128	644	49289
129	648	49216
130	652	49144
131	655	49002
132	659	48950
133	662	48768
134	666	48714
135	670	48644
136	675	48598
137	678	48504
138	683	48490
139	686	48379
140	691	48332
141	695	48308
142	700	48302
143	704	48230
144	707	48076
145	712	48069
146	715	47977
147	719	47928
148	722	47786
149	727	47750
150	731	47698
151	735	47682
152	740	47651
153	744	47591
154	748	47551
155	753	47544
156	757	47505
157	761	47433
158	765	47388
159	769	47350
160	772	47236
161	776	47177
162	780	47126
163	783	46992
164	787	46940
165	791	46878
166	795	46831
167	799	46766
168	802	46709
169	805	46604
170	809	46544
171	813	46503
172	815	46313
173	819	46267
174	823	46212
175	827	46182
176	831	46143
177	835	46115
178	839	46062
179	840	45875
180	845	45844
181	849	45818
182	853	45788
183	858	45785
184	862	45784
185	867	45749
186	870	45667
187	874	45661
188	877	45567
189	882	45545
190	884	45411
191	888	45379
192	892	45348
193	895	45245
194	899	45242
195	904	45227
196	908	45216
197	910	45096
198	915	45078
199	919	45058
200	923	45017
201	928	45028
202	932	45010
203	936	44978
204	940	44957
205	942	44820
206	946	44770
207	950	44760
208	955	44756
209	960	44755
210	964	44735
211	967	44655
212	971	44632
213	975	44613
214	979	44586
215	983	44551
216	987	44529
217	992	44537
218	994	44424
219	998	44404
220	1003	44401
221	1008	44406
222	1012	44404
223	1017	44402
224	1019	44280
225	1022	44228
226	1027	44227
227	1031	44203
228	1033	44097
229	1038	44115
230	1043	44111
231	1047	44097
232	1051	44097
233	1056	44080
234	1060	44063
235	1064	44057
236	1069	44039
237	1073	44011
238	1077	43995
239	1081	43981
240	1086	43987
241	1090	43984
242	1094	43953
243	1099	43955
244	1103	43946
245	1107	43917
246	1111	43896
247	1115	43863
248	1119	43830
249	1124	43858
250	1128	43845
251	1132	43804
252	1136	43791
253	1140	43774
254	1145	43766
255	1149	43742
256	1153	43731
257	1157	43708
258	1161	43679
259	1165	43654
260	1169	43637
261	1173	43620
262	1177	43591
263	1181	43588
264	1186	43593
265	1191	43592
266	1193	43493
267	1197	43491
268	1202	43494
269	1207	43506
270	1211	43498
271	1217	43537
272	1221	43536
273	1226	43542
274	1230	43524
275	1235	43511
276	1239	43520
277	1244	43530
278	1249	43521
279	1250	43421
280	1255	43412
281	1259	43411
282	1261	43328
283	1266	43320
284	1270	43312
285	1274	43287
286	1278	43272
287	1282	43234
288	1285	43209
289	1289	43189
290	1293	43173
291	1298	43155
292	1302	43140
293	1306	43118
294	1310	43097
295	1314	43088
296	1318	43069
297	1322	43054
298	1326	43036
299	1330	43025
300	1335	43018
301	1339	43008
302	1343	42990
303	1347	42968
304	1351	42945
305	1355	42937
306	1359	42923
307	1363	42908
308	1367	42891
309	1372	42889
310	1376	42887
311	1380	42874
312	1385	42864
313	1389	42859
314	1393	42855
315	1397	42840
316	1402	42829
317	1406	42830
318	1411	42824
319	1415	42810
320	1419	42809
321	1423	42798
322	1428	42797
323	1431	42752
324	1435	42743
325	1440	42732
326	1444	42729
327	1448	42713
328	1453	42719
329	1455	42642
330	1457	42584
331	1462	42585
332	1467	42598
333	1471	42594
334	1476	42587
335	1480	42595
336	1485	42586
337	1489	42587
338	1496	42640
339	1503	42718
340	1508	42724
341	1513	42732
342	1517	42733
343	1522	42734
344	1526	42730
345	1530	42713
346	1535	42721
347	1539	42710
348	1543	42676
349	1547	42668
350	1551	42659
351	1556	42661
352	1560	42650
353	1565	42654
354	1570	42663
355	1574	42646
356	1578	42632
357	1582	42624
358	1587	42620
359	1591	42611
360	1596	42627
361	1600	42622
362	1605	42617
363	1609	42610
364	1613	42596
365	1617	42587
366	1621	42573
367	1626	42574
368	1630	42568
369	1634	42552
370	1638	42530
371	1643	42528
372	1648	42536
373	1652	42525
374	1656	42517
375	1661	42531
376	1665	42519
377	1670	42519
378	1674	42517
379	1680	42535
380	1685	42545
381	1689	42548
382	1694	42560
383	1699	42568
384	1705	42602
385	1710	42605
386	1715	42613
387	1721	42634
388	1725	42633
389	1730	42645
390	1735	42643
391	1739	42638
392	1744	42632
393	1748	42630
394	1753	42632
395	1759	42681
396	1765	42700
397	1770	42710
398	1774	42706
399	1779	42707
400	1784	42707
401	1788	42699
