iter	RMSE
0	6.417715994
1	6.074929156
2	5.783265391
3	5.50861078
4	5.302743798
5	5.112385209
6	4.930986002
7	4.787154333
8	4.660392371
9	4.543467803
10	4.451832273
11	4.385466935
12	4.3049655
13	4.243701714
14	4.195372412
15	4.152027414
16	4.11572011
17	4.083950384
18	4.066209575
19	4.042971502
20	4.016475914
21	3.9950599
22	3.977230044
23	3.959107425
24	3.944106335
25	3.929142352
26	3.917952932
27	3.902627173
28	3.887309195
29	3.874169496
30	3.861160177
31	3.851413783
32	3.840384219
33	3.828248039
34	3.821463184
35	3.8110518
36	3.805229119
37	3.7959282
38	3.785825093
39	3.776115791
40	3.769753027
41	3.762858247
42	3.756296471
43	3.756088023
44	3.747005205
45	3.742039203
46	3.735386414
47	3.728270675
48	3.719634667
49	3.715783955
50	3.713176644
51	3.708915337
52	3.704419476
53	3.699823088
54	3.694121783
55	3.688443581
56	3.682791141
57	3.678914797
58	3.673255096
59	3.667198846
60	3.66035049
61	3.654978175
62	3.650523775
63	3.646800736
64	3.645353125
65	3.640463683
66	3.636745672
67	3.631674355
68	3.628808787
69	3.624062336
70	3.619813548
71	3.618235307
72	3.613704718
73	3.608689092
74	3.601957875
75	3.600023762
76	3.595185863
77	3.592728367
78	3.589916768
79	3.587425985
80	3.583686968
81	3.579736046
82	3.577074699
83	3.57154899
84	3.565460487
85	3.563285691
86	3.560002888
87	3.556303484
88	3.55473235
89	3.553182839
90	3.547401545
91	3.542721363
92	3.540884834
93	3.5386727
94	3.533084697
95	3.529020671
96	3.525024391
97	3.519146156
98	3.513404838
99	3.509335223
100	3.504236602
101	3.501219981
102	3.494260398
103	3.489562517
104	3.486993317
105	3.482914582
106	3.479391185
107	3.478042071
108	3.473378581
109	3.471520623
110	3.466922655
111	3.462566377
112	3.459145422
113	3.455876552
114	3.450290681
115	3.446237489
116	3.44108335
117	3.440496141
118	3.437038712
119	3.432978264
120	3.427900608
121	3.423969796
122	3.418797107
123	3.417186206
124	3.413868584
125	3.411831782
126	3.408685755
127	3.403502412
128	3.40002883
129	3.396793699
130	3.39260101
131	3.390855069
132	3.390032101
133	3.385557022
134	3.383488298
135	3.380157984
136	3.376641841
137	3.372809735
138	3.36956841
139	3.369330673
140	3.365606411
141	3.364994133
142	3.360842115
143	3.357736373
144	3.356441846
145	3.35181661
146	3.347350582
147	3.346148919
148	3.343866465
149	3.340922031
150	3.339935462
151	3.337507955
152	3.33634484
153	3.331472983
154	3.33078435
155	3.329630592
156	3.326600944
157	3.325452988
158	3.32377206
159	3.322089354
160	3.318097223
161	3.316001643
162	3.314286603
163	3.31118427
164	3.30779056
165	3.303207582
166	3.30081049
167	3.2992263
168	3.295745597
169	3.292613752
170	3.289753529
171	3.284081926
172	3.280626719
173	3.278380475
174	3.278222103
175	3.27596959
176	3.27279704
177	3.270544126
178	3.266512589
179	3.264846302
180	3.261803223
181	3.261437164
182	3.259321742
183	3.256799289
184	3.254419752
185	3.253949239
186	3.249278608
187	3.247156138
188	3.243665274
189	3.243581338
190	3.241262457
191	3.238270105
192	3.23667963
193	3.233981223
194	3.230874231
195	3.227373542
196	3.226746766
197	3.223678054
198	3.221461875
199	3.218532804
200	3.217195567
201	3.214567193
202	3.212544911
203	3.210090848
204	3.207278592
205	3.20421551
206	3.201929216
207	3.198903117
208	3.194409173
209	3.194186756
210	3.191737803
211	3.191200286
212	3.188080588
213	3.185498083
214	3.182740539
215	3.18027023
216	3.177364171
217	3.175607655
218	3.173330167
219	3.17098816
220	3.168961725
221	3.166086346
222	3.163415577
223	3.160819433
224	3.158869438
225	3.155912347
226	3.154883246
227	3.151585754
228	3.149226606
229	3.148954152
230	3.147241385
231	3.143433284
232	3.143292324
233	3.139767878
234	3.135812968
235	3.132116789
236	3.132019079
237	3.129516423
238	3.127759042
239	3.125243169
240	3.12274728
241	3.120095735
242	3.119177424
243	3.11739704
244	3.114971906
245	3.114255663
246	3.11136065
247	3.109749703
248	3.107621674
249	3.105337684
250	3.102698624
251	3.102440066
252	3.101339531
253	3.098624843
254	3.097960454
255	3.096286202
256	3.094328556
257	3.092014705
258	3.086004287
259	3.084104274
260	3.082192874
261	3.081236378
262	3.080471026
263	3.078348122
264	3.077276021
265	3.073995888
266	3.072817394
267	3.071362815
268	3.070868697
269	3.068293133
270	3.065820146
271	3.06288757
272	3.058188309
273	3.058091747
274	3.056295369
275	3.055377852
276	3.053432428
277	3.050024586
278	3.049164962
279	3.049064667
280	3.046482134
281	3.042761335
282	3.039101871
283	3.037875576
284	3.0349063
285	3.032965788
286	3.030293498
287	3.029143702
288	3.027359333
289	3.025765958
290	3.022652703
291	3.020244871
292	3.016930336
293	3.015082035
294	3.013443264
295	3.011463446
296	3.010189088
297	3.009414595
298	3.007928441
299	3.00773047
300	3.005686082
301	3.00396987
302	3.000425295
303	2.998844758
304	2.996974571
305	2.996000806
306	2.993256306
307	2.99134708
308	2.991186717
309	2.989112274
310	2.987538088
311	2.983303473
312	2.98228068
313	2.980330131
314	2.979891444
315	2.97651048
316	2.975590207
317	2.972173665
318	2.970321858
319	2.967184982
320	2.965381178
321	2.963101736
322	2.962118206
323	2.9608128
324	2.959994108
325	2.957736231
326	2.955871856
327	2.954156428
328	2.952775242
329	2.950069171
330	2.948514924
331	2.946290111
332	2.94499404
333	2.941745812
334	2.941059877
335	2.940140724
336	2.938340826
337	2.938218365
338	2.935690278
339	2.934329106
340	2.932020405
341	2.930337936
342	2.927659449
343	2.926541952
