iter	Passed	Remaining
0	143	1437231
1	146	730615
2	152	508148
3	158	394890
4	160	320915
5	165	275966
6	167	239380
7	173	216505
8	178	197888
9	182	181986
10	186	169383
11	189	157884
12	192	147710
13	195	139375
14	198	132116
15	201	126023
16	204	120085
17	206	114605
18	207	109086
19	209	104681
20	211	100580
21	213	96774
22	215	93475
23	217	90358
24	218	87315
25	220	84541
26	221	81975
27	223	79542
28	224	77275
29	226	75184
30	227	73225
31	229	71505
32	231	69855
33	232	68264
34	234	66696
35	235	65247
36	237	63846
37	238	62529
38	239	61280
39	241	60100
40	242	58944
41	243	57846
42	245	56802
43	245	55608
44	247	54703
45	248	53794
46	249	52931
47	251	52062
48	252	51222
49	253	50399
50	254	49635
51	255	48873
52	256	48144
53	257	47465
54	259	46833
55	260	46249
56	261	45663
57	263	45083
58	264	44526
59	265	43996
60	266	43468
61	268	42975
62	269	42461
63	270	41996
64	271	41531
65	273	41117
66	274	40698
67	275	40266
68	276	39833
69	277	39417
70	279	39024
71	280	38636
72	281	38275
73	282	37913
74	283	37542
75	284	37182
76	285	36831
77	287	36516
78	288	36223
79	289	35921
80	290	35624
81	292	35339
82	293	35052
83	294	34787
84	296	34535
85	297	34299
86	298	34044
87	299	33788
88	301	33545
89	302	33345
90	304	33127
91	305	32915
92	306	32678
93	307	32455
94	309	32234
95	310	32012
96	311	31819
97	312	31610
98	313	31401
99	315	31212
100	316	31059
101	318	30895
102	319	30722
103	320	30542
104	322	30379
105	323	30217
106	325	30072
107	326	29942
108	328	29780
109	329	29616
110	330	29451
111	332	29314
112	333	29140
113	334	28976
114	335	28827
115	336	28704
116	338	28577
117	339	28442
118	341	28318
119	342	28182
120	343	28046
121	344	27919
122	346	27810
123	347	27698
124	349	27584
125	350	27465
126	351	27360
127	353	27252
128	354	27140
129	356	27031
130	357	26918
131	358	26814
132	359	26693
133	361	26581
134	362	26467
135	363	26358
136	364	26253
137	365	26154
138	367	26049
139	368	25930
140	369	25839
141	370	25723
142	371	25621
143	372	25513
144	373	25406
145	374	25302
146	376	25205
147	377	25116
148	378	25030
149	379	24950
150	381	24879
151	383	24819
152	384	24739
153	385	24664
154	386	24577
155	388	24501
156	389	24435
157	391	24355
158	392	24277
159	393	24200
160	394	24114
161	395	24044
162	397	23971
163	398	23890
164	399	23804
165	400	23731
166	401	23655
167	402	23575
168	403	23494
169	404	23411
170	405	23331
171	407	23262
172	408	23194
173	410	23162
174	411	23106
175	412	23045
176	414	22980
177	415	22910
178	416	22855
179	417	22794
180	419	22739
181	420	22689
182	421	22626
183	423	22567
184	424	22515
185	425	22448
186	426	22390
187	428	22338
188	429	22276
189	430	22218
190	431	22152
191	432	22098
192	433	22035
193	434	21979
194	435	21913
195	436	21846
196	437	21783
197	439	21776
198	441	21747
199	442	21704
200	444	21662
201	445	21619
202	447	21583
203	448	21536
204	449	21497
205	451	21450
206	452	21394
207	453	21355
208	455	21315
209	456	21269
210	457	21214
211	458	21160
212	459	21110
213	460	21069
214	461	21020
215	462	20972
216	464	20922
217	465	20872
218	466	20835
219	467	20795
220	469	20761
221	470	20726
222	471	20692
223	473	20673
224	475	20636
225	476	20596
226	477	20558
227	478	20521
228	480	20487
229	481	20449
230	482	20423
231	484	20397
232	485	20359
233	486	20319
234	487	20274
235	488	20230
236	490	20185
237	491	20142
238	492	20104
239	493	20063
240	494	20030
241	495	19992
242	497	19957
243	498	19929
244	499	19901
245	500	19860
246	502	19834
247	503	19806
248	505	19778
249	506	19746
250	507	19711
251	508	19673
252	509	19645
253	511	19620
254	512	19601
255	514	19581
256	515	19557
257	517	19529
258	518	19500
259	519	19471
260	520	19435
261	522	19407
262	523	19372
263	524	19338
264	525	19312
265	527	19288
266	528	19250
267	529	19213
268	530	19173
269	531	19142
270	532	19120
271	533	19097
272	535	19070
273	536	19044
274	537	19020
275	539	18995
276	540	18978
277	542	18954
278	543	18930
279	544	18906
280	546	18887
281	547	18860
282	548	18833
283	549	18801
284	550	18771
285	551	18748
286	553	18725
287	554	18699
288	555	18676
289	556	18649
290	558	18620
291	559	18593
292	560	18565
293	561	18536
294	562	18509
295	563	18485
296	565	18464
297	566	18440
298	567	18418
299	569	18404
300	570	18389
301	572	18372
302	573	18356
303	574	18335
304	576	18315
305	577	18302
306	579	18283
307	580	18255
308	581	18225
309	582	18196
310	583	18172
311	584	18155
312	585	18134
313	587	18108
314	588	18080
315	589	18057
316	590	18034
317	591	18009
318	592	17983
319	593	17961
320	595	17942
321	596	17926
322	597	17910
323	599	17899
324	600	17885
325	602	17870
326	603	17853
327	604	17834
328	606	17820
329	607	17800
330	608	17782
331	610	17766
332	611	17744
333	612	17722
334	614	17722
335	615	17702
336	616	17680
337	617	17659
338	619	17642
339	621	17647
340	623	17657
341	625	17660
342	627	17668
343	629	17663
