iter	RMSE
0	6.790920367
1	6.750511614
2	6.712103981
3	6.673006479
4	6.634658121
5	6.595964615
6	6.557618332
7	6.518447135
8	6.481159361
9	6.447299311
10	6.412076232
11	6.377038078
12	6.341467374
13	6.306352734
14	6.27150131
15	6.238734693
16	6.204482212
17	6.170143061
18	6.139630601
19	6.106997678
20	6.074467472
21	6.04207685
22	6.010424265
23	5.979054001
24	5.949037758
25	5.919668332
26	5.890397374
27	5.864269458
28	5.835690709
29	5.80647232
30	5.779125223
31	5.751351903
32	5.724611098
33	5.697534331
34	5.672346988
35	5.645777624
36	5.619577234
37	5.593895338
38	5.56863183
39	5.54370182
40	5.519884011
41	5.496114694
42	5.473125791
43	5.449185254
44	5.429049287
45	5.406263065
46	5.38297689
47	5.36297386
48	5.340281633
49	5.320122134
50	5.298376754
51	5.27964125
52	5.261499298
53	5.241615344
54	5.221256968
55	5.201061511
56	5.181717674
57	5.162350441
58	5.143408886
59	5.124438609
60	5.108949967
61	5.09032308
62	5.072227608
63	5.054091627
64	5.036523444
65	5.021714209
66	5.004963945
67	4.988133371
68	4.971929304
69	4.956127789
70	4.940680846
71	4.924575746
72	4.908552425
73	4.89392776
74	4.879045238
75	4.864211229
76	4.84896914
77	4.834374048
78	4.820413803
79	4.805734236
80	4.791827129
81	4.777749933
82	4.764460897
83	4.752465942
84	4.739657399
85	4.726895711
86	4.714791024
87	4.702285322
88	4.690564222
89	4.680574752
90	4.669370263
91	4.657564085
92	4.645616345
93	4.633460827
94	4.623191645
95	4.612696659
96	4.601912137
97	4.591472428
98	4.581423715
99	4.57040939
100	4.559703614
101	4.549714311
102	4.539902693
103	4.529649244
104	4.520080006
105	4.51045456
106	4.501598917
107	4.493341574
108	4.484428413
109	4.475902919
110	4.466637252
111	4.457968328
112	4.44955299
113	4.442965927
114	4.435316218
115	4.427589417
116	4.421178226
117	4.412629667
118	4.405053929
119	4.399205775
120	4.391876561
121	4.384088433
122	4.376668837
123	4.370180741
124	4.36298758
125	4.356770051
126	4.350094175
