iter	Passed	Remaining
0	113	1138754
1	208	1043259
2	301	1005330
3	383	957393
4	490	979920
5	594	990550
6	698	997636
7	797	995684
8	898	997488
9	994	993764
10	1094	994176
11	1182	984084
12	1284	986447
13	1369	976849
14	1470	978607
15	1577	984195
16	1687	990875
17	1789	992431
18	1916	1006615
19	2030	1013092
20	2124	1009448
21	2219	1006555
22	2320	1006396
23	2405	999780
24	2489	993158
25	2584	991576
26	2689	993589
27	2800	997411
28	2906	999289
29	3016	1002421
30	3129	1006327
31	3217	1002182
32	3327	1005042
33	3442	1009191
34	3568	1015983
35	3686	1020323
36	3790	1020649
37	3890	1019966
38	4005	1023064
39	4112	1024061
40	4213	1023486
41	4303	1020222
42	4388	1016303
43	4479	1013594
44	4582	1013657
45	4671	1010820
46	4789	1014232
47	4881	1012036
48	5001	1015656
49	5139	1022764
50	5257	1025653
51	5367	1026896
52	5458	1024529
53	5563	1024783
54	5659	1023399
55	5772	1024987
56	5868	1023762
57	5968	1023121
58	6067	1022394
59	6177	1023354
60	6276	1022671
61	6396	1025273
62	6503	1025831
63	6600	1024719
64	6700	1024198
65	6824	1027223
66	6934	1028039
67	7038	1028023
68	7140	1027663
69	7247	1028075
70	7344	1027087
71	7439	1025873
72	7548	1026507
73	7663	1027973
74	7775	1028903
75	7872	1027947
76	7972	1027405
77	8084	1028446
78	8183	1027716
79	8298	1028981
80	8397	1028383
81	8518	1030351
82	8626	1030765
83	8714	1028702
84	8815	1028357
85	8932	1029756
86	9049	1031167
87	9138	1029302
88	9232	1028181
89	9341	1028550
90	9450	1029052
91	9565	1030142
92	9683	1031589
93	9786	1031337
94	9896	1031858
95	9994	1031132
96	10116	1032792
97	10225	1033234
98	10343	1034455
99	10438	1033455
100	10565	1035513
101	10691	1037490
102	10800	1037812
103	10905	1037747
104	11010	1037643
105	11109	1036995
106	11222	1037582
107	11330	1037771
108	11446	1038706
109	11568	1040104
110	11675	1040147
111	11774	1039530
112	11878	1039333
113	11992	1040002
114	12112	1041163
115	12231	1042248
116	12340	1042423
117	12445	1042284
118	12564	1043269
119	12663	1042625
120	12794	1044565
121	12902	1044675
122	13007	1044531
123	13125	1045378
124	13255	1047220
125	13374	1048083
126	13498	1049342
127	13615	1050064
