Id,Start Date,End Date,Start Location,Start District,End Location,End District,Distance,Promo
100340,2023-04-22 09:01:03,2023-04-22 09:24:45,Шевченко,Юго-Восточный,Майская,Октябрьский,4069.0,0
100341,2023-04-22 09:01:07,2023-04-22 09:29:32,Чехова,заречный,Спортивная,октябрьский,4515.0,0
100342,2023-04-22 09:04:27,2023-04-22 09:42:46,Буденного,Октябрьский,Суворова,ленинский,4520.0,0
100343,2023-04-22 09:06:34,2023-04-22 09:38:23,Труда,Центральный,Рабочая,Северо-Западный,3881.0,0
100344,2023-04-22 09:09:27,2023-04-22 09:40:07,Первомайская,Северо-Западный,Юбилейная,Юго-Восточный,4029.0,0
100345,2023-04-22 09:10:09,2023-04-22 09:49:56,Лесная,Юго-Восточный,Западная,Ленинский,4879.0,0
100346,2023-04-22 09:15:12,2023-04-22 09:26:01,Пролетарская,Центральный,Свободы,Ленинский,1846.0,0
100347,2023-04-22 09:19:13,2023-04-22 09:40:03,Комарова,Ленинский,ул. западная,Ленинский,3133.0,0
100348,2023-04-22 09:21:42,2023-04-22 09:39:04,Западная,ленинский,Озерная,Юго-Восточный,3.0,0
100349,2023-04-22 09:28:00,2023-04-22 10:02:08,Свободы,ленинский,ул. чкалова,юго-восточный,5263.0,0
100350,2023-04-22 09:37:57,2023-04-22 09:52:42,Коммунальная,Юго-Восточный,Строителей,Центральный,2731.0,0
100351,2023-04-22 09:39:04,2023-04-22 10:04:52,Зеленая,центральный,ул. спортивная,Октябрьский,3391.0,0
100352,2023-04-22 09:39:45,2023-04-22 09:52:36,Шоссейная,Заречный,Красная,Северо-Западный,3354.0,0
100353,2023-04-22 09:39:47,2023-04-22 10:19:25,Центральная,юго-восточный,Ул. Крупской,центральный,5445.0,0
100354,2023-04-22 09:43:09,2023-04-22 10:11:25,буденного,Октябрьский,ул.почтовая,Юго-Восточный,4873.0,0
100355,2023-04-22 09:43:34,2023-04-22 09:54:10,новая,Северо-Западный,гоголя,Центральный,1840.0,0
100356,2023-04-22 09:44:41,2023-04-22 10:23:10,Энтузиастов,Центральный,Сиреневая,Юго-Восточный,4715.0,0
100356,2023-04-22 09:44:41,2023-04-22 10:23:10,Энтузиастов,Центральный,Сиреневая,Юго-Восточный,4715.0,0
100357,2023-04-22 09:47:29,2023-04-22 10:10:36,ул.подгорная,Ленинский,ул.южная,Центральный,3111.0,0
100358,2023-04-22 09:50:22,2023-04-22 10:15:10,Чехова,Заречный,Шоссейная,Заречный,3359.0,0
100359,2023-04-22 09:54:09,2023-04-22 10:30:34,Восточная,Октябрьский,Трудовая,Центральный,5069.0,0
100360,2023-04-22 10:01:51,2023-04-22 10:31:17,Лермонтова,Ленинский,Дружбы,центральный,5.0,0
100361,2023-04-22 10:02:01,2023-04-22 10:27:20,Школьная,Северо-Западный,Почтовая,юго-восточный,3434.0,0
100362,2023-04-22 10:06:19,2023-04-22 10:34:28,Пушкина,центральный,Южная,центральный,3622.0,0
100363,2023-04-22 10:07:17,2023-04-22 10:44:46,подгорная,Ленинский,космонавтов,Юго-Восточный,3929.0,0
100364,2023-04-22 10:07:31,2023-04-22 10:32:31,рябиновая,северо-западный,шевченко,Юго-Восточный,3460.0,0
100365,2023-04-22 10:08:21,2023-04-22 10:30:52,Солнечная,Центральный,Спортивная,Октябрьский,3406.0,0
100366,2023-04-22 10:08:33,2023-04-22 10:38:12,Комарова,Ленинский,ул. набережная,центральный,4261.0,0
100367,2023-04-22 10:09:47,2023-04-22 10:41:25,Мичурина,Ленинский,Майская,октябрьский,3557.0,0
100368,2023-04-22 10:11:32,2023-04-22 10:31:13,буденного,Октябрьский,вишневая,Юго-Восточный,3892.0,0
100369,2023-04-22 10:11:46,2023-04-22 10:22:02,Пушкина,центральный,Совхозная,Центральный,1836.0,0
100370,2023-04-22 10:11:50,2023-04-22 10:40:53,ул труда,Центральный,ул сосновая,Юго-Восточный,4315.0,0
100371,2023-04-22 10:13:13,2023-04-22 10:30:57,Партизанская,Ленинский,ул. вишневая,юго-восточный,4136.0,0
100372,2023-04-22 10:15:57,2023-04-22 10:47:27,Вокзальная,Юго-Восточный,Куйбышева,Центральный,4990.0,0
100373,2023-04-22 10:17:06,2023-04-22 10:39:31,Комсомольская,заречный,Степная,Центральный,3906.0,0
100374,2023-04-22 10:18:19,2023-04-22 10:44:52,майская,октябрьский,береговая,центральный,4152.0,0
