iter	Passed	Remaining
0	162	1619931
1	164	822977
2	167	558558
3	170	425811
4	171	342416
5	174	290444
6	176	252589
7	179	224032
8	182	202104
9	184	184120
10	187	170479
11	189	158051
12	192	147603
13	194	138837
14	198	132081
15	200	125092
16	203	119417
17	205	114163
18	207	108851
19	209	104582
20	211	100651
21	215	97959
22	218	94663
23	221	92101
24	224	89390
25	226	86709
26	228	84355
27	231	82276
28	233	80379
29	236	78457
30	239	76961
31	242	75456
32	244	73843
33	248	72739
34	250	71248
35	253	70188
36	256	69164
37	260	68398
38	263	67247
39	266	66330
40	269	65501
41	272	64520
42	275	63774
43	276	62502
44	279	61888
45	281	61011
46	284	60280
47	287	59662
48	290	58934
49	292	58281
50	295	57585
51	298	57131
52	301	56510
53	303	55940
54	307	55634
55	310	55078
56	312	54531
57	314	53985
58	318	53603
59	320	53167
60	323	52641
61	325	52202
62	328	51767
63	330	51301
64	333	50981
65	336	50656
66	339	50268
67	341	49808
68	343	49378
69	345	48970
70	347	48533
71	349	48159
72	351	47806
73	353	47432
74	355	47051
75	357	46693
76	359	46320
77	361	45946
78	363	45687
79	366	45437
80	368	45126
81	371	44880
82	374	44762
83	377	44602
84	380	44437
85	384	44306
86	386	44012
87	389	43854
88	391	43611
89	394	43459
90	396	43214
91	400	43117
92	403	43016
93	407	42954
94	410	42837
95	412	42601
96	415	42464
97	418	42250
98	421	42124
99	423	41915
100	426	41754
101	429	41653
102	431	41488
103	435	41461
104	439	41380
105	442	41313
106	447	41393
107	450	41226
108	452	41073
109	455	40969
110	458	40805
111	460	40687
112	463	40513
113	466	40434
114	469	40382
115	473	40375
116	477	40347
117	480	40201
118	482	40072
119	485	39992
120	489	39955
121	492	39889
122	496	39832
123	499	39789
124	503	39748
125	507	39735
126	510	39700
127	513	39625
128	517	39561
129	520	39480
130	523	39424
131	526	39352
132	529	39272
133	532	39225
134	536	39207
135	539	39161
136	543	39119
137	546	39080
138	550	39065
139	553	39005
140	557	38953
141	560	38890
142	563	38870
143	568	38877
144	571	38826
145	574	38796
146	578	38767
147	582	38750
148	585	38708
149	588	38676
150	592	38618
151	595	38587
152	598	38539
153	602	38498
154	605	38450
155	608	38425
156	612	38422
157	616	38372
158	619	38322
159	622	38273
160	624	38185
161	627	38090
162	630	38061
163	633	37994
164	636	37961
165	640	37926
166	643	37903
167	646	37863
168	650	37853
169	654	37825
170	658	37827
171	661	37783
172	664	37767
173	668	37747
174	670	37636
175	673	37588
176	676	37521
177	678	37451
178	681	37389
179	684	37350
180	687	37290
181	690	37249
182	692	37154
183	695	37120
184	698	37035
185	700	36974
186	703	36931
187	706	36866
188	709	36842
189	712	36801
190	715	36765
191	719	36735
192	721	36671
193	725	36658
194	727	36583
195	731	36565
196	733	36512
197	736	36459
198	738	36371
199	741	36333
200	744	36278
201	746	36228
202	752	36318
203	756	36315
204	760	36347
205	765	36382
206	769	36415
207	773	36403
208	775	36332
209	777	36257
210	780	36222
211	782	36150
212	786	36129
213	790	36133
214	792	36084
215	796	36067
216	799	36050
217	802	35990
218	804	35940
219	807	35908
220	811	35912
221	814	35889
222	818	35865
223	822	35915
224	827	35936
225	830	35931
226	833	35896
227	836	35836
228	839	35832
229	842	35805
230	845	35753
231	848	35745
232	851	35691
233	854	35681
234	858	35674
235	861	35658
236	864	35624
237	868	35609
238	872	35615
239	875	35618
240	879	35609
241	882	35586
242	885	35562
243	888	35534
244	892	35536
245	896	35527
246	899	35509
247	902	35499
248	905	35470
249	909	35452
250	912	35433
251	915	35403
252	918	35380
253	922	35381
254	925	35379
255	929	35380
256	932	35359
257	937	35389
258	940	35373
259	943	35326
260	946	35310
261	948	35243
262	950	35199
263	953	35180
264	957	35177
265	962	35218
266	965	35210
267	969	35192
268	972	35169
269	975	35158
270	979	35159
271	983	35172
272	985	35127
273	988	35097
274	991	35079
275	994	35034
276	997	35012
277	1000	34999
278	1004	35012
279	1008	35000
280	1011	34970
281	1014	34976
282	1018	34966
283	1021	34958
284	1025	34946
285	1028	34943
286	1032	34938
287	1036	34943
288	1039	34929
289	1043	34939
290	1046	34922
291	1050	34913
292	1053	34890
293	1056	34889
294	1060	34877
295	1063	34854
296	1066	34846
297	1070	34847
298	1073	34842
299	1077	34824
300	1080	34818
301	1083	34793
302	1086	34779
303	1090	34777
304	1093	34764
305	1097	34768
306	1101	34769
307	1104	34762
308	1107	34749
309	1111	34730
310	1113	34686
311	1117	34698
312	1120	34692
313	1124	34686
314	1127	34677
315	1131	34685
316	1134	34664
317	1137	34623
318	1140	34614
319	1144	34620
320	1147	34610
321	1151	34605
322	1154	34589
323	1158	34592
324	1161	34581
325	1165	34574
326	1168	34569
327	1171	34538
328	1174	34526
329	1177	34517
330	1181	34512
331	1184	34499
332	1188	34505
333	1192	34505
334	1195	34494
335	1198	34484
336	1202	34478
337	1205	34467
338	1209	34460
339	1212	34451
340	1215	34433
341	1218	34414
342	1222	34420
343	1225	34407
